Song,Singer,Genre,Gender,quantafied subjective score,20-Jun-09,27-Jun-09,04-Jul-09,11-Jul-09,18-Jul-09,25-Jul-09,mentions1,mentions2,mentions3,mentions4,mentions5,mentions6,Factor,Difference
best I ever had,drake,4,1,4,36,27,3,3,3,2,208,153,1125,192,137,208,-4,-34
boom boom pow,black eyed peas,1,3,3,1,1,1,2,2,3,252,386,112,167,185,468,0,2
fire burning,sean kingston,1,1,4,9,8,7,7,6,5,70,38,40,51,49,69,-1,-4
gives you hell,the all-american rejects,3,1,3,28,31,40,40,44,46,104,97,51,74,59,62,1,18
I gotta feeling,black eyed peas,1,3,5,100,2,2,1,1,1,0,75,48,61,75,277,-10,-99
I run to you,Lady Antebellum,5,3,4,38,38,37,35,34,31,5,9,8,14,19,8,-1,-7
I'm yours,jason marz,3,1,5,33,33,33,31,29,32,98,91,43,77,72,82,-1,-1
if today was your last day,nickelback,3,1,3,23,22,21,19,21,23,60,38,50,51,48,63,0,0
just dance,lady gaga,1,2,4,29,29,36,42,42,48,121,78,46,73,110,344,1,19
love story,taylor swift,2,2,5,26,26,29,33,38,41,183,224,139,313,181,229,1,15
lovegame,lady gaga,1,2,3,6,5,6,5,5,7,41,21,19,48,29,55,0,1
never say never,the fray,3,1,2,100,90,57,48,53,55,0,57,34,67,52,64,-5,-45
new divide,linkin park,3,1,1,43,41,30,9,10,13,200,146,67,90,118,223,-3,-30
paranoid,jonas brothers,2,1,2,69,60,70,70,88,100,274,413,149,257,301,0,3,31
poker face,lady gaga,1,2,3,5,7,12,15,15,18,254,229,465,252,254,470,1,13
right round,flo rida,1,1,3,18,19,24,28,27,36,48,28,14,24,24,38,1,18
the climb,miley cyrus,3,2,4,13,12,15,16,17,17,216,180,150,188,128,373,0,4
waking up in vegas,katty perry,2,2,3,12,11,11,10,13,12,62,60,22,51,61,66,0,0
walking on the moon,the dream,4,1,3,93,87,92,91,100,98,0,0,0,0,0,1,0,5
we made you,eminem,4,1,3,42,56,85,100,100,100,26,18,7,0,0,0,5,58
when love takes over,david guetta,1,3,5,100,100,100,96,90,77,0,0,31,54,58,86,-3,-23
you belong with me,taylor swift,5,2,4,32,18,16,11,9,6,56,219,133,228,154,184,-3,-26
