Song,Singer,Genre,Gender,Date,Rank this week,Difference,quantafied subjective score,mentions,Change
boom boom pow,black eyed peas,1,3,1,1,0,3,252,3
boom boom pow,black eyed peas,1,3,2,1,0,3,386,3
boom boom pow,black eyed peas,1,3,3,1,0,3,112,3
boom boom pow,black eyed peas,1,3,4,2,-1,3,167,2
boom boom pow,black eyed peas,1,3,5,2,0,3,185,3
boom boom pow,black eyed peas,1,3,6,3,-1,3,468,2
fire burning,sean kingston,1,1,1,9,0,4,70,3
fire burning,sean kingston,1,1,2,8,1,4,38,1
fire burning,sean kingston,1,1,3,7,1,4,40,1
fire burning,sean kingston,1,1,4,7,0,4,51,3
fire burning,sean kingston,1,1,5,6,1,4,49,1
fire burning,sean kingston,1,1,6,5,1,4,69,1
gives you hell,the all-american rejects,3,1,1,28,-1,3,104,2
gives you hell,the all-american rejects,3,1,2,31,-3,3,97,2
gives you hell,the all-american rejects,3,1,3,40,-9,3,51,2
gives you hell,the all-american rejects,3,1,4,40,0,3,74,3
gives you hell,the all-american rejects,3,1,5,44,-4,3,59,2
gives you hell,the all-american rejects,3,1,6,46,-2,3,62,2
I gotta feeling,black eyed peas,1,3,2,2,2,5,75,1
I gotta feeling,black eyed peas,1,3,3,2,0,5,48,3
I gotta feeling,black eyed peas,1,3,4,1,1,5,61,1
I gotta feeling,black eyed peas,1,3,5,1,0,5,75,3
I gotta feeling,black eyed peas,1,3,6,1,0,5,277,3
I run to you,Lady Antebellum,5,3,1,38,4,4,5,1
I run to you,Lady Antebellum,5,3,2,38,0,4,9,3
I run to you,Lady Antebellum,5,3,3,37,1,4,8,1
I run to you,Lady Antebellum,5,3,4,35,2,4,14,1
I run to you,Lady Antebellum,5,3,5,34,1,4,19,1
I run to you,Lady Antebellum,5,3,6,31,3,4,8,1
I'm yours,jason marz,3,1,1,33,-2,5,98,2
I'm yours,jason marz,3,1,2,33,0,5,91,3
I'm yours,jason marz,3,1,3,33,0,5,43,3
I'm yours,jason marz,3,1,4,31,2,5,77,1
I'm yours,jason marz,3,1,5,29,2,5,72,1
I'm yours,jason marz,3,1,6,32,-3,5,82,2
if today was your last day,nickelback,3,1,2,22,1,3,38,1
if today was your last day,nickelback,3,1,3,21,1,3,50,1
if today was your last day,nickelback,3,1,4,19,2,3,51,1
if today was your last day,nickelback,3,1,5,21,-2,3,48,2
if today was your last day,nickelback,3,1,6,23,-2,3,63,2
just dance,lady gaga,1,2,1,29,-7,4,121,2
just dance,lady gaga,1,2,2,29,0,4,78,3
just dance,lady gaga,1,2,3,36,-7,4,46,2
just dance,lady gaga,1,2,4,42,-6,4,73,2
just dance,lady gaga,1,2,5,42,0,4,110,3
just dance,lady gaga,1,2,6,48,-6,4,344,2
love story,taylor swift,2,2,1,26,2,5,183,1
love story,taylor swift,2,2,2,26,0,5,224,3
love story,taylor swift,2,2,3,29,-3,5,139,2
love story,taylor swift,2,2,4,33,-4,5,313,2
love story,taylor swift,2,2,5,38,-5,5,181,2
love story,taylor swift,2,2,6,41,-3,5,229,2
lovegame,lady gaga,1,2,1,6,4,3,41,1
lovegame,lady gaga,1,2,2,5,1,3,21,1
lovegame,lady gaga,1,2,3,6,-1,3,19,2
lovegame,lady gaga,1,2,4,5,1,3,48,1
lovegame,lady gaga,1,2,5,5,0,3,29,3
lovegame,lady gaga,1,2,6,7,-2,3,55,2
never say never,the fray,3,1,2,90,90,-2,57,1
never say never,the fray,3,1,3,57,33,-2,34,1
never say never,the fray,3,1,4,48,9,-2,67,1
never say never,the fray,3,1,5,53,-5,-2,52,2
never say never,the fray,3,1,6,55,-2,-2,64,2
new divide,linkin park,3,1,1,43,-4,-1,200,2
new divide,linkin park,3,1,2,41,2,-1,146,1
new divide,linkin park,3,1,3,30,11,-1,67,1
new divide,linkin park,3,1,4,9,21,-1,90,1
new divide,linkin park,3,1,5,10,-1,-1,118,2
new divide,linkin park,3,1,6,13,-3,-1,223,2
paranoid,jonas brothers,2,1,1,69,2,2,274,1
paranoid,jonas brothers,2,1,2,60,9,2,413,1
paranoid,jonas brothers,2,1,3,70,-10,2,149,2
paranoid,jonas brothers,2,1,4,70,0,2,257,3
paranoid,jonas brothers,2,1,5,88,-18,2,301,2
poker face,lady gaga,1,2,1,5,-3,3,254,2
poker face,lady gaga,1,2,2,7,-2,3,229,2
poker face,lady gaga,1,2,3,12,-5,3,465,2
poker face,lady gaga,1,2,4,15,-3,3,252,2
poker face,lady gaga,1,2,5,15,0,3,254,3
poker face,lady gaga,1,2,6,18,-3,3,470,2
right round,flo rida,1,1,1,18,-1,3,48,2
right round,flo rida,1,1,2,19,-1,3,28,2
right round,flo rida,1,1,3,24,-5,3,14,2
right round,flo rida,1,1,4,28,-4,3,24,2
right round,flo rida,1,1,5,27,1,3,24,1
right round,flo rida,1,1,6,36,-9,3,38,2
the climb,miley cyrus,3,2,1,13,-1,4,216,2
the climb,miley cyrus,3,2,2,12,1,4,180,1
the climb,miley cyrus,3,2,3,15,-3,4,150,2
the climb,miley cyrus,3,2,4,16,-1,4,188,2
the climb,miley cyrus,3,2,5,17,-1,4,128,2
the climb,miley cyrus,3,2,6,17,0,4,373,3
waking up in vegas,katty perry,2,2,1,12,2,3,62,1
waking up in vegas,katty perry,2,2,2,11,1,3,60,1
waking up in vegas,katty perry,2,2,3,11,0,3,22,3
waking up in vegas,katty perry,2,2,4,10,1,3,51,1
waking up in vegas,katty perry,2,2,5,13,-3,3,61,2
waking up in vegas,katty perry,2,2,6,12,1,3,66,1
walking on the moon,the dream,4,1,3,92,-5,3,0,2
walking on the moon,the dream,4,1,4,91,1,3,0,1
walking on the moon,the dream,4,1,5,100,-9,3,0,2
walking on the moon,the dream,4,1,6,98,2,3,1,1
we made you,eminem,4,1,1,42,4,3,26,1
we made you,eminem,4,1,2,56,-14,3,18,2
we made you,eminem,4,1,3,85,-29,3,7,2
when love takes over,david guetta,1,3,3,100,100,5,31,1
when love takes over,david guetta,1,3,4,96,4,5,54,1
when love takes over,david guetta,1,3,5,90,6,5,58,1
when love takes over,david guetta,1,3,6,77,13,5,86,1
you belong with me,taylor swift,5,2,1,32,9,4,56,1
you belong with me,taylor swift,5,2,2,18,14,4,219,1
you belong with me,taylor swift,5,2,3,16,2,4,133,1
you belong with me,taylor swift,5,2,4,11,5,4,228,1
you belong with me,taylor swift,5,2,5,9,2,4,154,1
you belong with me,taylor swift,5,2,6,6,3,4,184,1
boom boom pow,black eyed peas,1,3,1,6,-3,3,123,2
boom boom pow,black eyed peas,1,3,2,7,-1,3,722,2
boom boom pow,black eyed peas,1,3,3,8,-1,3,699,2
boom boom pow,black eyed peas,1,3,4,10,-2,3,778,2
fire burning,sean kingston,1,1,1,5,0,4,22,3
fire burning,sean kingston,1,1,2,6,-1,4,187,2
fire burning,sean kingston,1,1,3,7,-1,4,277,2
fire burning,sean kingston,1,1,4,8,-1,4,205,2
gives you hell,the all-american rejects,3,1,1,50,-4,-3,34,2
I gotta feeling,black eyed peas,1,3,1,1,0,5,630,3
I gotta feeling,black eyed peas,1,3,2,1,0,5,2076,3
I gotta feeling,black eyed peas,1,3,3,1,0,5,1989,3
I gotta feeling,black eyed peas,1,3,4,1,0,5,2006,3
I run to you,Lady Antebellum,5,3,1,36,-5,4,20,2
I run to you,Lady Antebellum,5,3,2,27,9,4,74,1
I run to you,Lady Antebellum,5,3,3,40,-13,4,39,2
I run to you,Lady Antebellum,5,3,4,49,-9,4,32,2
I'm yours,jason marz,3,1,1,29,3,5,87,1
I'm yours,jason marz,3,1,2,34,-5,5,459,2
I'm yours,jason marz,3,1,3,35,-1,5,448,2
I'm yours,jason marz,3,1,4,23,12,5,677,1
if today was your last day,nickelback,3,1,1,22,1,3,46,1
if today was your last day,nickelback,3,1,2,26,-4,3,248,2
if today was your last day,nickelback,3,1,3,30,-4,3,152,2
if today was your last day,nickelback,3,1,4,32,-2,3,106,2
love story,taylor swift,2,2,1,40,1,5,308,1
love story,taylor swift,2,2,2,42,-2,5,1275,2
love story,taylor swift,2,2,3,46,-4,5,883,2
love story,taylor swift,2,2,4,46,0,5,1858,3
lovegame,lady gaga,1,2,1,7,-2,3,40,2
lovegame,lady gaga,1,2,2,8,-1,3,192,2
lovegame,lady gaga,1,2,3,9,-1,3,193,2
lovegame,lady gaga,1,2,4,12,-3,3,221,2
never say never,the fray,3,1,1,49,6,-2,36,1
never say never,the fray,3,1,2,47,2,-2,266,1
never say never,the fray,3,1,3,48,-1,-2,238,2
never say never,the fray,3,1,4,47,1,-2,262,1
new divide,linkin park,3,1,1,15,-2,-1,124,2
new divide,linkin park,3,1,2,18,-3,-1,533,2
new divide,linkin park,3,1,3,19,-1,-1,339,2
new divide,linkin park,3,1,4,21,-2,-1,265,2
poker face,lady gaga,1,2,1,19,-1,3,159,2
poker face,lady gaga,1,2,2,23,-4,3,1060,2
poker face,lady gaga,1,2,3,27,-4,3,1048,2
poker face,lady gaga,1,2,4,31,-4,3,951,2
right round,flo rida,1,1,1,42,-6,3,17,2
right round,flo rida,1,1,2,43,-1,3,112,2
the climb,miley cyrus,3,2,1,18,-1,4,201,2
the climb,miley cyrus,3,2,2,21,-3,4,1382,2
the climb,miley cyrus,3,2,3,22,-1,4,2600,2
the climb,miley cyrus,3,2,4,28,-6,4,2325,2
waking up in vegas,katty perry,2,2,1,10,2,3,31,1
waking up in vegas,katty perry,2,2,2,9,1,3,245,1
waking up in vegas,katty perry,2,2,3,11,-2,3,180,2
waking up in vegas,katty perry,2,2,4,11,0,3,177,3
walking on the moon,the dream,4,1,1,100,-2,3,0,2
walking on the moon,the dream,4,1,2,91,9,3,7,1
when love takes over,david guetta,1,3,1,76,1,5,30,1
when love takes over,david guetta,1,3,2,78,-2,5,183,2
when love takes over,david guetta,1,3,3,82,-4,5,160,2
when love takes over,david guetta,1,3,4,99,-17,5,118,2
you belong with me,taylor swift,5,2,1,3,3,4,102,1
you belong with me,taylor swift,5,2,2,4,-1,4,706,2
you belong with me,taylor swift,5,2,3,3,1,4,629,1
you belong with me,taylor swift,5,2,4,2,1,4,636,1
