Song,Singer,Genre,Gender,Difference,Change,Logit change
best I ever had,drake,4,1,-18,2,0
best I ever had,drake,4,1,9,1,1
best I ever had,drake,4,1,24,1,1
best I ever had,drake,4,1,0,3,1
best I ever had,drake,4,1,1,1,1
boom boom pow,black eyed peas,1,3,0,3,1
boom boom pow,black eyed peas,1,3,0,3,1
boom boom pow,black eyed peas,1,3,0,3,1
boom boom pow,black eyed peas,1,3,-1,2,0
boom boom pow,black eyed peas,1,3,0,3,1
boom boom pow,black eyed peas,1,3,-1,2,0
fire burning,sean kingston,1,1,0,3,1
fire burning,sean kingston,1,1,1,1,1
fire burning,sean kingston,1,1,1,1,1
fire burning,sean kingston,1,1,0,3,1
fire burning,sean kingston,1,1,1,1,1
fire burning,sean kingston,1,1,1,1,1
gives you hell,the all-american rejects,3,1,-1,2,0
gives you hell,the all-american rejects,3,1,-3,2,0
gives you hell,the all-american rejects,3,1,-9,2,0
gives you hell,the all-american rejects,3,1,0,3,1
gives you hell,the all-american rejects,3,1,-4,2,0
gives you hell,the all-american rejects,3,1,-2,2,0
I gotta feeling,black eyed peas,1,3,2,1,1
I gotta feeling,black eyed peas,1,3,0,3,1
I gotta feeling,black eyed peas,1,3,1,1,1
I gotta feeling,black eyed peas,1,3,0,3,1
I gotta feeling,black eyed peas,1,3,0,3,1
I run to you,Lady Antebellum,5,3,4,1,1
I run to you,Lady Antebellum,5,3,0,3,1
I run to you,Lady Antebellum,5,3,1,1,1
I run to you,Lady Antebellum,5,3,2,1,1
I run to you,Lady Antebellum,5,3,1,1,1
I run to you,Lady Antebellum,5,3,3,1,1
I'm yours,jason marz,3,1,-2,2,0
I'm yours,jason marz,3,1,0,3,1
I'm yours,jason marz,3,1,0,3,1
I'm yours,jason marz,3,1,2,1,1
I'm yours,jason marz,3,1,2,1,1
I'm yours,jason marz,3,1,-3,2,0
if today was your last day,nickelback,3,1,1,1,1
if today was your last day,nickelback,3,1,1,1,1
if today was your last day,nickelback,3,1,2,1,1
if today was your last day,nickelback,3,1,-2,2,0
if today was your last day,nickelback,3,1,-2,2,0
just dance,lady gaga,1,2,-7,2,0
just dance,lady gaga,1,2,0,3,1
just dance,lady gaga,1,2,-7,2,0
just dance,lady gaga,1,2,-6,2,0
just dance,lady gaga,1,2,0,3,1
just dance,lady gaga,1,2,-6,2,0
love story,taylor swift,2,2,2,1,1
love story,taylor swift,2,2,0,3,1
love story,taylor swift,2,2,-3,2,0
love story,taylor swift,2,2,-4,2,0
love story,taylor swift,2,2,-5,2,0
love story,taylor swift,2,2,-3,2,0
lovegame,lady gaga,1,2,4,1,1
lovegame,lady gaga,1,2,1,1,1
lovegame,lady gaga,1,2,-1,2,0
lovegame,lady gaga,1,2,1,1,1
lovegame,lady gaga,1,2,0,3,1
lovegame,lady gaga,1,2,-2,2,0
never say never,the fray,3,1,90,1,1
never say never,the fray,3,1,33,1,1
never say never,the fray,3,1,9,1,1
never say never,the fray,3,1,-5,2,0
never say never,the fray,3,1,-2,2,0
new divide,linkin park,3,1,-4,2,0
new divide,linkin park,3,1,2,1,1
new divide,linkin park,3,1,11,1,1
new divide,linkin park,3,1,21,1,1
new divide,linkin park,3,1,-1,2,0
new divide,linkin park,3,1,-3,2,0
paranoid,jonas brothers,2,1,2,1,1
paranoid,jonas brothers,2,1,9,1,1
paranoid,jonas brothers,2,1,-10,2,0
paranoid,jonas brothers,2,1,0,3,1
paranoid,jonas brothers,2,1,-18,2,0
poker face,lady gaga,1,2,-3,2,0
poker face,lady gaga,1,2,-2,2,0
poker face,lady gaga,1,2,-5,2,0
poker face,lady gaga,1,2,-3,2,0
poker face,lady gaga,1,2,0,3,1
poker face,lady gaga,1,2,-3,2,0
right round,flo rida,1,1,-1,2,0
right round,flo rida,1,1,-1,2,0
right round,flo rida,1,1,-5,2,0
right round,flo rida,1,1,-4,2,0
right round,flo rida,1,1,1,1,1
right round,flo rida,1,1,-9,2,0
the climb,miley cyrus,3,2,-1,2,0
the climb,miley cyrus,3,2,1,1,1
the climb,miley cyrus,3,2,-3,2,0
the climb,miley cyrus,3,2,-1,2,0
the climb,miley cyrus,3,2,-1,2,0
the climb,miley cyrus,3,2,0,3,1
waking up in vegas,katty perry,2,2,2,1,1
waking up in vegas,katty perry,2,2,1,1,1
waking up in vegas,katty perry,2,2,0,3,1
waking up in vegas,katty perry,2,2,1,1,1
waking up in vegas,katty perry,2,2,-3,2,0
waking up in vegas,katty perry,2,2,1,1,1
walking on the moon,the dream,4,1,-5,2,0
walking on the moon,the dream,4,1,1,1,1
walking on the moon,the dream,4,1,-9,2,0
walking on the moon,the dream,4,1,2,1,1
we made you,eminem,4,1,4,1,1
we made you,eminem,4,1,-14,2,0
we made you,eminem,4,1,-29,2,0
when love takes over,david guetta,1,3,100,1,1
when love takes over,david guetta,1,3,4,1,1
when love takes over,david guetta,1,3,6,1,1
when love takes over,david guetta,1,3,13,1,1
you belong with me,taylor swift,5,2,9,1,1
you belong with me,taylor swift,5,2,14,1,1
you belong with me,taylor swift,5,2,2,1,1
you belong with me,taylor swift,5,2,5,1,1
you belong with me,taylor swift,5,2,2,1,1
you belong with me,taylor swift,5,2,3,1,1
